frame,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms
425,8.1124,5.5797,0.0482,0.1160,5.9072
426,5.9846,6.6824,0.0289,0.0900,6.9322
427,6.9801,6.2442,0.0305,0.0938,6.5926
428,6.6340,6.5940,0.0265,0.1922,6.9135
429,6.9587,6.5259,0.0278,0.2277,6.8886
430,6.9287,6.6238,0.0233,0.1929,6.9386
431,6.9769,6.5473,0.0280,0.1702,6.9033
432,6.9533,6.8951,0.0282,0.1675,7.1906
433,7.3771,6.8745,0.0292,0.1824,7.2057
434,7.2549,6.3220,0.0258,0.1666,6.6166
435,6.6580,6.5443,0.0253,0.1764,6.8530
436,6.8934,6.5975,0.0263,0.1783,6.9079
437,6.9493,6.8675,0.0274,0.0842,7.1328
438,7.1743,6.7448,0.0309,0.1221,7.0127
439,7.0662,6.3410,0.0260,0.2223,6.7143
440,6.7548,6.2517,0.0469,0.2274,6.6625
441,6.7344,6.2076,0.0298,0.1884,6.5462
442,6.5946,6.3966,0.0291,0.1906,6.7267
443,6.7718,6.6695,0.0235,0.1583,6.9784
444,7.0185,6.7503,0.0231,0.2977,7.1937
445,7.2361,6.5922,0.0252,0.1527,6.8818
446,6.9485,6.6429,0.0367,0.1454,6.9941
447,7.0497,6.3176,0.0619,0.1531,6.6512
448,6.6983,6.6491,0.0230,0.0768,6.8426
449,6.8822,6.7665,0.0384,0.0852,7.0409
450,7.0948,6.3569,0.0689,0.2090,6.7727
451,6.8216,7.1675,0.0311,0.1962,7.5013
452,7.5548,6.7858,0.0327,0.2030,7.1453
453,7.1969,6.4173,0.0264,0.2340,6.8123
454,6.8538,5.4629,0.0356,0.1752,5.8097
455,5.8764,6.7817,0.0286,0.2283,7.1618
456,7.2117,6.2440,0.0270,0.2049,6.5893
457,6.6311,6.5220,0.0383,0.1620,6.8356
458,6.8738,6.6881,0.0230,0.2299,7.0426
459,7.0791,6.5134,0.0293,0.2976,6.9449
460,7.0228,6.6701,0.0279,0.1428,6.9673
461,7.0148,6.9987,0.0281,0.2085,7.3504
462,7.4038,6.9898,0.0333,0.2055,7.3545
463,7.5454,5.7893,0.0330,0.2618,6.2165
464,6.3777,5.8705,0.0254,0.2970,6.2966
465,6.3418,9.6678,0.0762,0.2191,10.2016
466,10.2948,5.1195,0.0446,0.1235,5.4396
467,5.5173,5.3382,0.0442,0.7009,6.2153
468,6.2859,5.5559,0.0311,0.1639,5.9057
469,5.9647,6.2245,0.0362,0.1777,6.5706
470,6.6327,6.5392,0.0280,0.1735,6.8927
471,6.9417,6.7188,0.0247,0.2389,7.0827
472,7.1288,6.5093,0.0210,0.2534,6.8769
473,6.9193,6.5087,0.0228,0.2139,6.8384
474,6.9013,6.4471,0.0384,0.1967,6.8087
475,6.8585,7.1109,0.0298,0.2019,7.4512
476,7.5615,6.2945,0.0289,0.2446,6.6807
477,6.7208,6.3386,0.0244,0.2282,6.6892
478,6.7306,6.5395,0.0264,0.2150,6.8809
479,6.9754,6.4582,0.0272,0.2458,6.8799
480,6.9249,6.5186,0.0247,0.2632,6.9112
481,6.9563,6.5925,0.0250,0.0814,6.7989
482,6.8702,6.9393,0.0248,0.1635,7.2546
483,7.2988,7.2027,0.0553,0.1943,7.5720
484,7.6482,5.6610,0.0326,0.1111,5.9629
485,6.0172,6.4579,0.0445,0.1546,6.7878
486,6.8300,6.9165,0.0279,0.1226,7.1948
487,7.2409,6.3313,0.0305,0.1608,6.6466
488,6.6913,6.6403,0.0258,0.1654,6.9276
489,6.9697,6.4496,0.0256,0.0736,6.7178
490,6.7559,6.6331,0.0327,0.1744,6.9461
491,6.9836,6.8775,0.0262,0.1599,7.1695
492,7.2100,6.7891,0.0329,0.1013,7.0919
493,7.1557,6.2931,0.0274,0.1962,6.6231
494,6.6781,6.9184,0.0332,0.0941,7.1988
495,7.2709,6.4510,0.0348,0.4518,7.1293
496,7.2010,5.9495,0.0328,0.2745,6.3789
497,6.4946,6.5431,0.0241,0.0803,6.7668
498,6.8450,7.1730,0.0526,0.1217,7.5875
499,7.6686,5.6596,0.0274,0.1626,5.9740
500,6.0530,6.4989,0.0261,0.2564,6.9030
501,6.9789,6.5119,0.0310,0.1398,6.8052
502,6.8456,6.4925,0.0248,0.2192,6.8435
503,6.8833,6.5977,0.0261,0.2000,6.9391
504,6.9786,6.5172,0.0260,0.2202,6.8629
