frame,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms
196,6.9957,6.7228,0.0377,0.2130,7.0724
197,7.1157,6.9230,0.0236,0.1747,7.2161
198,7.2542,6.7843,0.0337,0.2727,7.2196
199,7.2942,6.3434,0.0225,0.1641,6.6244
200,6.6658,6.8372,0.0467,0.2077,7.2150
201,7.3367,5.9698,0.0249,0.2180,6.3207
202,6.3631,6.7104,0.0325,0.0955,7.0605
203,7.1198,6.3630,0.0342,0.1712,6.6922
204,6.7916,6.7570,0.0306,0.1287,7.0245
205,7.0704,6.4441,0.0315,0.2793,6.8677
206,7.0203,6.5156,0.0253,0.1715,6.8177
207,6.8596,6.7460,0.0250,0.2738,7.1441
208,7.1836,6.4789,0.0502,0.0764,6.7047
209,6.7465,6.7288,0.0500,0.1645,7.0385
210,7.0822,14.7942,0.0409,0.2187,15.1899
211,15.3022,4.7745,0.0891,0.1224,5.1595
212,5.2485,6.5925,0.0597,0.0852,6.8709
213,6.9178,6.4806,0.0262,0.1964,6.8087
214,6.8718,6.3364,0.0326,0.1190,6.6093
215,6.6582,6.5072,0.0251,0.2178,6.8530
216,6.8968,6.6374,0.0236,0.2121,6.9768
217,7.0242,6.7360,0.0692,0.1301,7.0389
218,7.0855,6.5786,0.0267,0.1583,6.8738
219,6.9152,6.6495,0.0218,0.2073,6.9892
220,7.0809,6.7187,0.0415,0.1974,7.0785
221,7.1210,6.5115,0.0274,0.0795,6.7396
222,6.7816,6.4635,0.0306,0.1569,6.7555
223,6.7945,6.5682,0.0263,0.1404,6.8502
224,6.8968,6.6039,0.0325,0.1847,6.9276
225,7.1579,6.7318,0.0447,0.2212,7.1382
226,7.2061,6.3886,0.0299,0.2224,6.7440
227,6.7919,6.4175,0.0244,0.2217,6.7784
228,6.8945,6.4885,0.0369,0.1578,6.8316
229,6.8936,6.2297,0.0278,0.1827,6.5684
230,6.6304,6.8508,0.0272,0.2168,7.2174
231,7.2608,6.4590,0.0278,0.1520,6.7642
232,6.8087,6.7711,0.0231,0.1698,7.0590
233,7.0985,6.3982,0.0233,0.0701,6.6272
234,6.6722,6.7627,0.0359,0.1232,7.0295
235,7.0800,6.5532,0.0276,0.0714,6.8015
236,6.8392,7.0937,0.0865,0.0870,7.3901
237,7.4310,6.2034,0.0257,0.2413,6.5683
238,6.6316,6.5301,0.0231,0.0740,6.7267
239,6.7711,6.7134,0.0513,0.0796,7.0166
240,7.0547,6.8769,0.0320,0.0824,7.1457
241,7.1887,6.4250,0.0248,0.0781,6.6585
242,6.7032,6.6194,0.0286,0.2104,7.0205
243,7.0642,6.7523,0.0631,0.1217,7.1147
244,7.1756,6.2926,0.0229,0.2289,6.6442
245,6.6845,6.5560,0.0530,0.0852,6.8483
246,6.9200,6.6188,0.0274,0.0794,6.8507
247,6.9988,6.6893,0.0266,0.1597,6.9684
248,7.0098,6.6404,0.0256,0.1700,6.9290
249,6.9660,6.3264,0.0258,0.1632,6.6133
250,6.6618,6.6573,0.0246,0.0716,6.8442
251,6.8873,6.6981,0.0297,0.1373,7.0167
252,7.0578,6.7135,0.0236,0.1772,7.0022
253,7.0414,10.1131,0.0403,0.1030,10.4140
254,10.4882,3.9135,0.0571,0.1478,4.3847
