frame,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms
275,1.2035,0.0212,5.2771,0.0943,5.5146
276,5.5862,0.0882,0.9409,0.1018,1.2791
277,1.3499,0.0252,5.3660,0.1100,5.6843
278,5.7597,0.0238,0.9771,0.0868,1.2189
279,1.2865,0.0243,5.1892,0.0805,5.4144
280,5.4985,0.0250,0.9621,0.0799,1.1715
281,1.2296,0.0160,5.4703,0.0997,5.6987
282,5.7651,0.0199,1.0450,0.0816,1.2547
283,1.3104,0.0198,5.5833,0.1330,5.8994
284,6.1577,0.0336,0.9150,0.1446,1.2358
285,1.2987,0.0220,4.8267,0.1175,5.0935
286,5.1881,0.0232,0.9383,0.0692,1.1358
287,1.2381,0.0225,5.3478,0.1213,5.6236
288,5.7282,0.0237,0.9285,0.0800,1.1441
289,1.2791,0.0435,5.1974,0.1086,5.5078
290,5.5966,0.0324,0.8694,0.1449,1.2369
291,1.4402,0.0407,5.0146,0.1225,5.4880
292,5.5944,0.0242,0.9349,0.0988,1.1882
293,1.2746,0.0260,5.2611,0.1275,5.5477
294,5.6436,0.0221,0.9337,0.1164,1.1798
295,1.2659,0.0267,5.3664,0.1755,5.7225
296,5.8052,0.0223,0.9533,0.0776,1.1624
297,1.2218,0.0149,5.2175,0.1133,5.4623
298,5.6066,0.0247,0.8849,0.0808,1.0949
299,1.1594,0.0153,5.5755,0.1568,5.8687
300,5.9612,0.0254,0.9287,0.1101,1.2297
301,1.2982,0.0217,5.0615,0.1334,5.3851
302,5.4918,0.0246,0.8931,0.0874,1.1480
303,1.2140,0.0203,5.3896,0.1119,5.6761
304,5.7703,0.0226,0.9371,0.0743,1.1491
305,1.2097,0.0145,5.3403,0.1444,5.6281
306,5.7055,0.0242,0.9425,0.0814,1.2580
307,1.3245,0.0193,5.2394,0.1096,5.4972
308,5.6025,0.0359,0.9001,0.0986,1.1659
309,1.2603,0.0210,5.3035,0.1971,5.6592
310,5.7993,0.0278,0.8523,0.0858,1.1129
311,1.1787,0.0205,5.6476,0.0949,5.8805
312,5.9666,0.0199,0.9968,0.0956,1.2708
313,1.3670,0.0355,4.7735,0.1444,5.1668
314,5.3452,0.0337,0.8762,0.0990,1.1442
315,1.2097,0.0221,5.3058,0.1245,5.6159
316,5.7419,0.0294,0.9504,0.0834,1.2019
317,1.2714,0.0209,5.2363,0.1754,5.5766
318,5.6945,0.0256,0.8947,0.1497,1.2260
319,1.3224,0.0317,5.0976,0.1344,5.4117
320,5.5697,0.0795,0.8367,0.1190,1.1738
321,1.2378,0.0248,5.4492,0.1410,5.8019
322,5.9010,0.0301,0.8995,0.0965,1.1705
323,1.3536,0.0384,5.0480,0.1255,5.3843
324,5.4832,0.0200,0.9273,0.0974,1.1487
325,1.2640,0.0236,5.4795,0.1183,5.7415
326,5.8430,0.0242,0.8970,0.0615,1.0951
327,1.1365,0.0120,5.1357,0.0921,5.3371
328,5.4000,0.0148,1.0080,0.1199,1.2692
329,1.5443,0.0426,6.8334,0.2621,7.3564
330,7.5400,0.0421,0.5913,0.0742,0.9109
331,0.9822,0.0182,3.6860,0.1389,3.9579
332,4.2075,0.0305,1.1320,0.0795,1.3819
333,1.8460,0.0206,4.3717,0.0966,4.5917
334,4.6560,0.0166,1.0261,0.0621,1.1929
335,1.2290,0.0113,5.4351,0.0844,5.6230
336,5.6798,0.0154,1.0109,0.0664,1.1773
337,1.2183,0.0159,5.5039,0.0783,5.6855
338,5.7367,0.0221,1.0318,0.0626,1.1990
339,1.2350,0.0115,5.4225,0.0626,5.5769
340,5.6161,0.0138,1.0410,0.0545,1.1886
341,1.2251,0.0101,5.5338,0.0610,5.6792
342,5.7169,0.0115,1.0534,0.0509,1.1881
343,1.2199,0.0102,5.5841,0.0995,5.7855
344,5.8513,0.0252,0.9721,0.0786,1.1845
345,1.2350,0.0169,5.3901,0.0916,5.6055
346,5.6654,0.0200,0.9923,0.0564,1.1566
347,1.1941,0.0113,5.5075,0.0742,5.6726
348,5.7238,0.0139,1.0170,0.0640,1.1819
349,1.2253,0.0117,5.4969,0.0764,5.6628
350,5.7146,0.0162,1.0168,0.0803,1.2223
351,1.2773,0.0193,5.4122,0.0914,5.6426
352,5.7081,0.0174,0.9650,0.0699,1.1576
353,1.2109,0.0122,5.4781,0.1027,5.7263
354,5.8244,0.0209,0.9044,0.0992,1.1563
355,1.2026,0.0165,5.3561,0.1069,5.5735
356,5.6445,0.0211,0.9376,0.0891,1.1578
357,1.2091,0.0169,5.5388,0.1555,5.8278
358,5.9209,0.0264,0.8483,0.0689,1.0620
359,1.1143,0.0177,5.3308,0.0978,5.5770
360,5.6609,0.0196,0.8038,0.0846,1.1562
361,1.2101,0.0187,5.4247,0.0808,5.6315
362,5.6964,0.0172,0.9732,0.0847,1.1828
363,1.2437,0.0205,5.5030,0.0856,5.7087
364,5.7629,0.0474,0.9268,0.0692,1.1629
365,1.2086,0.0163,5.3666,0.1031,5.5803
366,5.6627,0.0160,0.9237,0.0672,1.1627
367,1.2006,0.0118,5.5007,0.0867,5.6892
368,5.7538,0.0136,0.9859,0.0873,1.1734
369,1.2162,0.0126,5.4234,0.0768,5.5954
370,5.6508,0.0181,1.0081,0.0969,1.2301
371,1.2827,0.0198,5.4443,0.0842,5.6551
372,5.7171,0.0212,0.9407,0.0688,1.1437
373,1.1905,0.0157,5.4809,0.2581,5.8685
374,5.9521,0.0249,0.8771,0.0906,1.1096
375,1.1570,0.0182,5.2898,0.0756,5.4867
