timestamp, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], utilization.gpu [%], temperature.gpu, power.draw [W], clocks_event_reasons.active
2026/09/24 08:47:33.800, P0, 1740 MHz, 6101 MHz, 20 %, 75, 22.98 W, 0x0000000000000001
2026/09/24 08:47:34.053, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.86 W, 0x0000000000000001
2026/09/24 08:47:34.311, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.86 W, 0x0000000000000001
2026/09/24 08:47:34.563, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.15 W, 0x0000000000000001
2026/09/24 08:47:34.817, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.15 W, 0x0000000000000001
2026/09/24 08:47:35.068, P0, 1740 MHz, 6101 MHz, 20 %, 75, 22.57 W, 0x0000000000000001
2026/09/24 08:47:35.319, P0, 1740 MHz, 6101 MHz, 20 %, 75, 22.57 W, 0x0000000000000001
2026/09/24 08:47:35.573, P0, 1740 MHz, 6101 MHz, 0 %, 75, 19.05 W, 0x0000000000000001
2026/09/24 08:47:35.832, P0, 1740 MHz, 6101 MHz, 0 %, 75, 19.05 W, 0x0000000000000001
2026/09/24 08:47:36.083, P0, 1740 MHz, 6101 MHz, 0 %, 75, 19.03 W, 0x0000000000000001
2026/09/24 08:47:36.339, P0, 1740 MHz, 6101 MHz, 0 %, 75, 19.03 W, 0x0000000000000001
2026/09/24 08:47:36.597, P0, 1740 MHz, 6101 MHz, 0 %, 74, 18.98 W, 0x0000000000000001
2026/09/24 08:47:36.853, P0, 1740 MHz, 6101 MHz, 0 %, 74, 18.98 W, 0x0000000000000001
2026/09/24 08:47:37.110, P0, 1740 MHz, 6101 MHz, 0 %, 74, 18.99 W, 0x0000000000000001
2026/09/24 08:47:37.368, P0, 1740 MHz, 6101 MHz, 0 %, 74, 18.99 W, 0x0000000000000001
2026/09/24 08:47:37.622, P0, 1740 MHz, 6101 MHz, 0 %, 74, 18.90 W, 0x0000000000000001
2026/09/24 08:47:37.885, P0, 1740 MHz, 6101 MHz, 0 %, 74, 18.90 W, 0x0000000000000001
2026/09/24 08:47:38.139, P0, 1740 MHz, 6101 MHz, 0 %, 74, 18.77 W, 0x0000000000000001
2026/09/24 08:47:38.405, P0, 1740 MHz, 6101 MHz, 0 %, 74, 18.77 W, 0x0000000000000001
2026/09/24 08:47:38.662, P0, 1740 MHz, 6101 MHz, 0 %, 74, 18.79 W, 0x0000000000000001
2026/09/24 08:47:38.918, P0, 1740 MHz, 6101 MHz, 0 %, 74, 18.79 W, 0x0000000000000001
2026/09/24 08:47:39.173, P0, 1740 MHz, 6101 MHz, 0 %, 74, 18.72 W, 0x0000000000000001
