# start_unix_ms 1790231668685
frame,at_ms,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
297,2092.334,7.5984,5.8380,0.0574,0.1547,6.2546,0.7210,0.1372
298,2098.740,6.4069,6.3366,0.0639,0.2903,6.8939,0.7230,0.1372
299,2105.912,7.1715,6.0738,0.0596,0.1655,6.5031,0.7328,0.1382
300,2112.517,6.6051,6.4091,0.0654,0.1626,6.8618,0.7185,0.1382
301,2119.483,6.9658,6.4454,0.0560,0.1535,6.8623,0.7311,0.1382
302,2126.484,7.0012,6.7528,0.0542,0.3431,7.3449,0.7380,0.1393
303,2133.965,7.4810,5.8357,0.0526,0.1474,6.2276,0.7323,0.1393
304,2140.347,6.3815,6.5291,0.0598,0.1674,6.9559,0.7229,0.1382
305,2147.685,7.3385,6.2141,0.0555,0.5511,7.0868,0.7349,0.1403
306,2154.882,7.1970,5.8532,0.0520,0.1478,6.2431,0.3934,0.1403
307,2161.469,6.5873,6.2786,0.0649,0.1772,6.7369,0.7369,0.1403
308,2168.313,6.8439,6.8849,0.0790,0.3966,7.6297,0.7295,0.1413
309,2176.059,7.7463,5.4128,0.0506,0.7695,6.4187,0.7342,0.1403
310,2182.628,6.5687,6.0900,0.0493,0.1432,6.4592,0.7381,0.1413
311,2189.209,6.5809,6.2225,0.0521,0.1509,6.6052,0.7370,0.1413
312,2195.916,6.7069,6.4019,0.0516,0.2941,6.9243,0.7409,0.1413
313,2203.027,7.1108,6.3472,0.0430,0.1827,6.7499,0.7383,0.1423
314,2209.874,6.8473,6.7765,0.0569,0.3522,7.3815,0.7364,0.1423
315,2217.389,7.5148,6.6832,0.0506,0.1479,7.0634,0.7370,0.1423
316,2224.550,7.1610,6.5200,0.0533,0.4345,7.2088,0.7326,0.1413
317,2231.854,7.3044,6.7359,0.0556,0.3218,7.3263,0.7361,0.1423
318,2239.285,7.4304,5.1587,0.0639,0.2441,5.7698,0.7355,0.1413
319,2245.195,5.9102,5.7529,0.0716,0.2153,6.2762,0.7339,0.1413
320,2251.642,6.4472,6.1942,0.0577,0.2004,6.6620,0.7379,0.1413
321,2258.455,6.8129,6.3257,0.0652,0.1823,6.8063,0.7357,0.1423
322,2265.369,6.9137,6.4682,0.0662,0.2423,6.9868,0.7367,0.1413
323,2272.466,7.0970,6.2961,0.0626,0.1567,6.7301,0.7335,0.1413
324,2279.296,6.8301,6.2492,0.0556,0.1627,6.6728,0.7627,0.1423
325,2286.064,6.7682,6.4150,0.0650,0.3616,7.0498,0.7299,0.1413
326,2293.346,7.2816,6.1316,0.0630,0.3428,6.7328,0.7363,0.1423
327,2300.343,6.9976,6.0916,0.0832,0.1891,6.5973,0.7321,0.1423
328,2307.365,7.0221,6.1979,0.0644,0.7030,7.1859,0.7308,0.1413
