timestamp, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], utilization.gpu [%], temperature.gpu, power.draw [W], clocks_event_reasons.active
2026/09/24 09:48:03.900, P0, 1740 MHz, 6101 MHz, 27 %, 72, 22.93 W, 0x0000000000000001
2026/09/24 09:48:04.151, P0, 1740 MHz, 6101 MHz, 27 %, 72, 22.93 W, 0x0000000000000001
2026/09/24 09:48:04.414, P0, 1740 MHz, 6101 MHz, 27 %, 72, 22.70 W, 0x0000000000000001
2026/09/24 09:48:04.680, P0, 1740 MHz, 6101 MHz, 27 %, 72, 22.70 W, 0x0000000000000001
2026/09/24 09:48:04.943, P0, 1740 MHz, 6101 MHz, 28 %, 72, 23.32 W, 0x0000000000000001
2026/09/24 09:48:05.208, P0, 1740 MHz, 6101 MHz, 28 %, 72, 23.32 W, 0x0000000000000001
2026/09/24 09:48:05.474, P0, 1740 MHz, 6101 MHz, 29 %, 72, 23.38 W, 0x0000000000000001
2026/09/24 09:48:05.724, P0, 1740 MHz, 6101 MHz, 29 %, 72, 23.38 W, 0x0000000000000001
2026/09/24 09:48:05.975, P0, 1740 MHz, 6101 MHz, 29 %, 72, 23.32 W, 0x0000000000000001
2026/09/24 09:48:06.237, P0, 1740 MHz, 6101 MHz, 29 %, 72, 23.32 W, 0x0000000000000001
2026/09/24 09:48:06.501, P0, 1740 MHz, 6101 MHz, 27 %, 72, 23.34 W, 0x0000000000000001
2026/09/24 09:48:06.766, P0, 1740 MHz, 6101 MHz, 30 %, 72, 23.35 W, 0x0000000000000001
2026/09/24 09:48:07.017, P0, 1740 MHz, 6101 MHz, 30 %, 72, 23.35 W, 0x0000000000000001
2026/09/24 09:48:07.281, P0, 1740 MHz, 6101 MHz, 30 %, 73, 23.37 W, 0x0000000000000001
2026/09/24 09:48:07.543, P0, 1740 MHz, 6101 MHz, 30 %, 73, 23.37 W, 0x0000000000000001
2026/09/24 09:48:07.808, P0, 1740 MHz, 6101 MHz, 28 %, 72, 23.22 W, 0x0000000000000001
2026/09/24 09:48:08.073, P0, 1740 MHz, 6101 MHz, 28 %, 72, 23.22 W, 0x0000000000000001
2026/09/24 09:48:08.337, P0, 1740 MHz, 6101 MHz, 30 %, 72, 23.51 W, 0x0000000000000001
2026/09/24 09:48:08.600, P0, 1740 MHz, 6101 MHz, 30 %, 72, 23.51 W, 0x0000000000000001
2026/09/24 09:48:08.865, P0, 1740 MHz, 6101 MHz, 29 %, 72, 23.27 W, 0x0000000000000001
2026/09/24 09:48:09.129, P0, 1740 MHz, 6101 MHz, 29 %, 72, 23.27 W, 0x0000000000000001
2026/09/24 09:48:09.394, P0, 1740 MHz, 6101 MHz, 27 %, 72, 23.30 W, 0x0000000000000001
2026/09/24 09:48:09.659, P0, 1740 MHz, 6101 MHz, 27 %, 72, 23.30 W, 0x0000000000000001
2026/09/24 09:48:09.925, P0, 1740 MHz, 6101 MHz, 28 %, 72, 22.99 W, 0x0000000000000001
2026/09/24 09:48:10.189, P0, 1740 MHz, 6101 MHz, 28 %, 72, 22.99 W, 0x0000000000000001
2026/09/24 09:48:10.454, P0, 1740 MHz, 6101 MHz, 28 %, 72, 22.94 W, 0x0000000000000001
2026/09/24 09:48:10.718, P0, 1740 MHz, 6101 MHz, 28 %, 72, 22.94 W, 0x0000000000000001
2026/09/24 09:48:10.968, P0, 1740 MHz, 6101 MHz, 26 %, 72, 22.91 W, 0x0000000000000001
2026/09/24 09:48:11.232, P0, 1740 MHz, 6101 MHz, 26 %, 72, 22.91 W, 0x0000000000000001
2026/09/24 09:48:11.496, P0, 1740 MHz, 6101 MHz, 28 %, 72, 22.91 W, 0x0000000000000001
2026/09/24 09:48:11.760, P0, 1740 MHz, 6101 MHz, 31 %, 72, 20.26 W, 0x0000000000000001
2026/09/24 09:48:12.011, P0, 1740 MHz, 6101 MHz, 31 %, 72, 20.26 W, 0x0000000000000001
2026/09/24 09:48:12.275, P0, 1740 MHz, 6101 MHz, 28 %, 72, 23.65 W, 0x0000000000000001
2026/09/24 09:48:12.540, P0, 1740 MHz, 6101 MHz, 28 %, 72, 23.65 W, 0x0000000000000001
2026/09/24 09:48:12.803, P0, 1740 MHz, 6101 MHz, 29 %, 72, 23.46 W, 0x0000000000000001
2026/09/24 09:48:13.068, P0, 1740 MHz, 6101 MHz, 29 %, 72, 23.46 W, 0x0000000000000001
2026/09/24 09:48:13.320, P0, 1740 MHz, 6101 MHz, 27 %, 72, 22.66 W, 0x0000000000000001
2026/09/24 09:48:13.572, P0, 1740 MHz, 6101 MHz, 27 %, 72, 22.66 W, 0x0000000000000001
2026/09/24 09:48:13.837, P0, 1740 MHz, 6101 MHz, 25 %, 72, 22.68 W, 0x0000000000000001
2026/09/24 09:48:14.102, P0, 1740 MHz, 6101 MHz, 25 %, 72, 22.68 W, 0x0000000000000001
2026/09/24 09:48:14.353, P0, 1740 MHz, 6101 MHz, 29 %, 72, 22.92 W, 0x0000000000000001
2026/09/24 09:48:14.617, P0, 1740 MHz, 6101 MHz, 29 %, 72, 22.92 W, 0x0000000000000001
2026/09/24 09:48:14.882, P0, 1740 MHz, 6101 MHz, 29 %, 73, 23.24 W, 0x0000000000000001
2026/09/24 09:48:15.147, P0, 1740 MHz, 6101 MHz, 29 %, 73, 23.24 W, 0x0000000000000001
2026/09/24 09:48:15.412, P0, 1740 MHz, 6101 MHz, 26 %, 72, 23.39 W, 0x0000000000000001
2026/09/24 09:48:15.676, P0, 1740 MHz, 6101 MHz, 26 %, 72, 23.39 W, 0x0000000000000001
2026/09/24 09:48:15.941, P0, 1740 MHz, 6101 MHz, 30 %, 72, 23.28 W, 0x0000000000000001
2026/09/24 09:48:16.205, P0, 1740 MHz, 6101 MHz, 30 %, 72, 23.28 W, 0x0000000000000001
2026/09/24 09:48:16.468, P0, 1740 MHz, 6101 MHz, 29 %, 73, 23.44 W, 0x0000000000000001
2026/09/24 09:48:16.719, P0, 1740 MHz, 6101 MHz, 29 %, 73, 23.44 W, 0x0000000000000001
2026/09/24 09:48:16.982, P0, 1740 MHz, 6101 MHz, 29 %, 72, 23.32 W, 0x0000000000000001
2026/09/24 09:48:17.247, P0, 1740 MHz, 6101 MHz, 29 %, 72, 23.37 W, 0x0000000000000001
2026/09/24 09:48:17.512, P0, 1740 MHz, 6101 MHz, 29 %, 72, 23.37 W, 0x0000000000000001
2026/09/24 09:48:17.773, P0, 1740 MHz, 6101 MHz, 29 %, 73, 23.45 W, 0x0000000000000001
2026/09/24 09:48:18.037, P0, 1740 MHz, 6101 MHz, 29 %, 73, 23.45 W, 0x0000000000000001
2026/09/24 09:48:18.303, P0, 1740 MHz, 6101 MHz, 28 %, 72, 23.36 W, 0x0000000000000001
2026/09/24 09:48:18.553, P0, 1740 MHz, 6101 MHz, 28 %, 72, 23.36 W, 0x0000000000000001
2026/09/24 09:48:18.818, P0, 1740 MHz, 6101 MHz, 28 %, 72, 23.24 W, 0x0000000000000001
2026/09/24 09:48:19.082, P0, 1740 MHz, 6101 MHz, 28 %, 72, 23.24 W, 0x0000000000000001
2026/09/24 09:48:19.348, P0, 1740 MHz, 6101 MHz, 27 %, 73, 22.99 W, 0x0000000000000001
2026/09/24 09:48:19.600, P0, 1740 MHz, 6101 MHz, 27 %, 73, 22.99 W, 0x0000000000000001
2026/09/24 09:48:19.865, P0, 1740 MHz, 6101 MHz, 25 %, 72, 23.08 W, 0x0000000000000001
2026/09/24 09:48:20.127, P0, 1740 MHz, 6101 MHz, 25 %, 72, 23.08 W, 0x0000000000000001
2026/09/24 09:48:20.378, P0, 1740 MHz, 6101 MHz, 27 %, 73, 23.03 W, 0x0000000000000001
2026/09/24 09:48:20.642, P0, 1740 MHz, 6101 MHz, 27 %, 73, 23.03 W, 0x0000000000000001
2026/09/24 09:48:20.905, P0, 1740 MHz, 6101 MHz, 28 %, 73, 23.00 W, 0x0000000000000001
2026/09/24 09:48:21.169, P0, 1740 MHz, 6101 MHz, 28 %, 73, 23.00 W, 0x0000000000000001
2026/09/24 09:48:21.420, P0, 1740 MHz, 6101 MHz, 27 %, 73, 23.36 W, 0x0000000000000001
2026/09/24 09:48:21.685, P0, 1740 MHz, 6101 MHz, 27 %, 73, 23.36 W, 0x0000000000000001
2026/09/24 09:48:21.948, P0, 1740 MHz, 6101 MHz, 28 %, 73, 23.57 W, 0x0000000000000001
2026/09/24 09:48:22.211, P0, 1740 MHz, 6101 MHz, 28 %, 73, 23.57 W, 0x0000000000000001
2026/09/24 09:48:22.474, P0, 1740 MHz, 6101 MHz, 26 %, 73, 23.08 W, 0x0000000000000001
2026/09/24 09:48:22.739, P0, 1740 MHz, 6101 MHz, 26 %, 73, 23.08 W, 0x0000000000000001
2026/09/24 09:48:22.990, P0, 1740 MHz, 6101 MHz, 26 %, 73, 22.89 W, 0x0000000000000001
2026/09/24 09:48:23.251, P0, 1740 MHz, 6101 MHz, 28 %, 73, 22.92 W, 0x0000000000000001
2026/09/24 09:48:23.516, P0, 1740 MHz, 6101 MHz, 28 %, 73, 22.92 W, 0x0000000000000001
2026/09/24 09:48:23.781, P0, 1740 MHz, 6101 MHz, 28 %, 73, 23.36 W, 0x0000000000000001
2026/09/24 09:48:24.047, P0, 1740 MHz, 6101 MHz, 28 %, 73, 23.36 W, 0x0000000000000001
2026/09/24 09:48:24.312, P0, 1740 MHz, 6101 MHz, 26 %, 73, 23.32 W, 0x0000000000000001
2026/09/24 09:48:24.577, P0, 1740 MHz, 6101 MHz, 26 %, 73, 23.32 W, 0x0000000000000001
2026/09/24 09:48:24.842, P0, 1740 MHz, 6101 MHz, 28 %, 73, 23.35 W, 0x0000000000000001
2026/09/24 09:48:25.104, P0, 1740 MHz, 6101 MHz, 28 %, 73, 23.35 W, 0x0000000000000001
2026/09/24 09:48:25.368, P0, 1740 MHz, 6101 MHz, 28 %, 73, 23.35 W, 0x0000000000000001
2026/09/24 09:48:25.632, P0, 1740 MHz, 6101 MHz, 28 %, 73, 23.35 W, 0x0000000000000001
2026/09/24 09:48:25.896, P0, 1740 MHz, 6101 MHz, 26 %, 73, 23.35 W, 0x0000000000000001
2026/09/24 09:48:26.161, P0, 1740 MHz, 6101 MHz, 26 %, 73, 23.35 W, 0x0000000000000001
2026/09/24 09:48:26.426, P0, 1740 MHz, 6101 MHz, 28 %, 73, 23.46 W, 0x0000000000000001
2026/09/24 09:48:26.690, P0, 1740 MHz, 6101 MHz, 28 %, 73, 23.46 W, 0x0000000000000001
2026/09/24 09:48:26.954, P0, 1740 MHz, 6101 MHz, 28 %, 73, 23.44 W, 0x0000000000000001
2026/09/24 09:48:27.217, P0, 1740 MHz, 6101 MHz, 28 %, 73, 23.44 W, 0x0000000000000001
2026/09/24 09:48:27.482, P0, 1740 MHz, 6101 MHz, 26 %, 73, 23.36 W, 0x0000000000000001
2026/09/24 09:48:27.748, P0, 1740 MHz, 6101 MHz, 27 %, 73, 23.29 W, 0x0000000000000001
