timestamp, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], utilization.gpu [%], temperature.gpu, power.draw [W], clocks_event_reasons.active
2026/09/24 09:01:19.586, P0, 1740 MHz, 6101 MHz, 24 %, 66, 22.24 W, 0x0000000000000001
2026/09/24 09:01:19.838, P0, 1740 MHz, 6101 MHz, 24 %, 66, 22.24 W, 0x0000000000000001
2026/09/24 09:01:20.088, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.43 W, 0x0000000000000001
2026/09/24 09:01:20.341, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.43 W, 0x0000000000000001
2026/09/24 09:01:20.606, P0, 1740 MHz, 6101 MHz, 24 %, 67, 21.59 W, 0x0000000000000001
2026/09/24 09:01:20.870, P0, 1740 MHz, 6101 MHz, 24 %, 67, 21.59 W, 0x0000000000000001
2026/09/24 09:01:21.132, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.47 W, 0x0000000000000001
2026/09/24 09:01:21.396, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.47 W, 0x0000000000000001
2026/09/24 09:01:21.659, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.51 W, 0x0000000000000001
2026/09/24 09:01:21.925, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.51 W, 0x0000000000000001
2026/09/24 09:01:22.190, P0, 1740 MHz, 6101 MHz, 25 %, 67, 22.27 W, 0x0000000000000001
2026/09/24 09:01:22.454, P0, 1740 MHz, 6101 MHz, 25 %, 67, 22.27 W, 0x0000000000000001
2026/09/24 09:01:22.719, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.44 W, 0x0000000000000001
2026/09/24 09:01:22.985, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.44 W, 0x0000000000000001
2026/09/24 09:01:23.249, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.61 W, 0x0000000000000001
2026/09/24 09:01:23.514, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.61 W, 0x0000000000000001
2026/09/24 09:01:23.777, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.48 W, 0x0000000000000001
2026/09/24 09:01:24.041, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.45 W, 0x0000000000000001
2026/09/24 09:01:24.304, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.45 W, 0x0000000000000001
2026/09/24 09:01:24.555, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.46 W, 0x0000000000000001
2026/09/24 09:01:24.807, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.46 W, 0x0000000000000001
2026/09/24 09:01:25.058, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.44 W, 0x0000000000000001
2026/09/24 09:01:25.309, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.44 W, 0x0000000000000001
2026/09/24 09:01:25.573, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.50 W, 0x0000000000000001
2026/09/24 09:01:25.823, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.50 W, 0x0000000000000001
2026/09/24 09:01:26.074, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.53 W, 0x0000000000000001
2026/09/24 09:01:26.339, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.53 W, 0x0000000000000001
2026/09/24 09:01:26.590, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.45 W, 0x0000000000000001
2026/09/24 09:01:26.854, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.45 W, 0x0000000000000001
2026/09/24 09:01:27.119, P0, 1740 MHz, 6101 MHz, 25 %, 67, 21.49 W, 0x0000000000000001
